country,region,applicants_per1000,group
CZE,Eastern Europe,0.14,Visegrád Group
HUN,Eastern Europe,18,Visegrád Group
POL,Eastern Europe,0.32,Visegrád Group
SVK,Eastern Europe,0.06,Visegrád Group
DNK,Northern Europe,3.68,Host states
FIN,Northern Europe,5.9,Host states
SWE,Northern Europe,16.58,Host states
AUT,Western Europe,10.2,Host states
BEL,Western Europe,3.96,Host states
DEU,Western Europe,5.83,Host states
LUX,Western Europe,4.4,Host states
GRC,Southern Europe,1.22,Frontline states
ITA,Southern Europe,1.38,Frontline states
MLT,Southern Europe,4.15,Frontline states
CYP,Western Asia,1.95,Frontline states
